# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
2.580	-0.013	0.061	-0.023
2.585	-0.013	0.061	-0.023
2.590	-0.012	0.061	-0.022
2.595	-0.013	0.061	-0.022
2.600	-0.012	0.061	-0.022
2.605	-0.012	0.061	-0.022
2.610	-0.012	0.061	-0.022
2.615	-0.012	0.061	-0.022
2.620	-0.012	0.061	-0.022
2.625	-0.012	0.062	-0.022
2.630	-0.012	0.061	-0.022
2.635	-0.012	0.061	-0.022
2.640	-0.011	0.061	-0.021
2.645	-0.011	0.062	-0.021
2.650	-0.011	0.062	-0.022
2.655	-0.011	0.062	-0.021
2.660	-0.011	0.062	-0.021
2.665	-0.011	0.062	-0.021
2.670	-0.011	0.062	-0.021
2.675	-0.011	0.062	-0.021
2.680	-0.011	0.062	-0.021
2.685	-0.011	0.062	-0.021
2.690	-0.011	0.063	-0.021
2.695	-0.011	0.062	-0.021
2.700	-0.011	0.063	-0.020
2.705	-0.010	0.063	-0.021
2.710	-0.011	0.063	-0.021
2.715	-0.011	0.063	-0.020
2.720	-0.011	0.063	-0.021
2.725	-0.010	0.063	-0.020
2.730	-0.010	0.063	-0.020
2.735	-0.010	0.063	-0.020
2.740	-0.011	0.063	-0.020
2.745	-0.010	0.063	-0.020
2.750	-0.010	0.063	-0.019
2.755	-0.010	0.064	-0.020
2.760	-0.010	0.063	-0.020
2.765	-0.010	0.064	-0.020
2.770	-0.009	0.064	-0.020
2.775	-0.009	0.064	-0.019
2.780	-0.009	0.064	-0.020
2.785	-0.010	0.064	-0.020
2.790	-0.010	0.064	-0.019
2.795	-0.009	0.064	-0.019
2.800	-0.010	0.064	-0.020
2.805	-0.009	0.064	-0.019
2.810	-0.009	0.064	-0.019
2.815	-0.009	0.064	-0.019
2.820	-0.009	0.065	-0.019
2.825	-0.009	0.065	-0.019
2.830	-0.009	0.064	-0.019
2.835	-0.008	0.065	-0.019
2.840	-0.009	0.065	-0.018
2.845	-0.008	0.065	-0.019
2.850	-0.009	0.065	-0.018
2.855	-0.009	0.065	-0.018
2.860	-0.008	0.065	-0.019
2.865	-0.009	0.065	-0.018
2.870	-0.008	0.065	-0.018
2.875	-0.008	0.065	-0.018
2.880	-0.009	0.065	-0.018
2.885	-0.008	0.065	-0.018
2.890	-0.007	0.065	-0.018
2.895	-0.008	0.065	-0.018
2.900	-0.008	0.065	-0.018
2.905	-0.008	0.065	-0.018
2.910	-0.008	0.065	-0.018
2.915	-0.008	0.065	-0.018
2.920	-0.008	0.065	-0.018
2.925	-0.007	0.065	-0.018
2.930	-0.008	0.065	-0.018
2.935	-0.007	0.066	-0.018
2.940	-0.008	0.065	-0.018
2.945	-0.007	0.065	-0.017
2.950	-0.007	0.066	-0.018
2.955	-0.008	0.066	-0.017
2.960	-0.007	0.066	-0.018
2.965	-0.007	0.066	-0.018
2.970	-0.007	0.066	-0.017
2.975	-0.007	0.066	-0.018
2.980	-0.007	0.066	-0.017
2.985	-0.007	0.066	-0.017
2.990	-0.007	0.066	-0.017
2.995	-0.007	0.066	-0.017
3.000	-0.007	0.066	-0.017
3.005	-0.007	0.066	-0.017
3.010	-0.007	0.067	-0.017
3.015	-0.007	0.067	-0.017
3.020	-0.007	0.066	-0.017
3.025	-0.007	0.067	-0.017
3.030	-0.006	0.067	-0.016
3.035	-0.007	0.067	-0.016
3.040	-0.007	0.066	-0.017
3.045	-0.007	0.067	-0.016
3.050	-0.006	0.067	-0.016
3.055	-0.007	0.067	-0.016
3.060	-0.006	0.067	-0.016
3.065	-0.007	0.067	-0.016
3.070	-0.006	0.066	-0.016
3.075	-0.006	0.067	-0.016
3.080	-0.006	0.067	-0.016
3.085	-0.006	0.067	-0.016
3.090	-0.006	0.067	-0.016
3.095	-0.007	0.067	-0.016
3.100	-0.006	0.067	-0.016
3.105	-0.006	0.067	-0.016
3.110	-0.006	0.067	-0.016
3.115	-0.006	0.068	-0.015
3.120	-0.006	0.068	-0.016
3.125	-0.006	0.068	-0.016
3.130	-0.006	0.068	-0.015
3.135	-0.006	0.067	-0.015
3.140	-0.006	0.068	-0.015
3.145	-0.006	0.067	-0.016
3.150	-0.006	0.068	-0.016
3.155	-0.006	0.068	-0.016
3.160	-0.006	0.067	-0.015
3.165	-0.006	0.068	-0.015
3.170	-0.005	0.068	-0.016
3.175	-0.006	0.068	-0.015
3.180	-0.006	0.068	-0.015
3.185	-0.006	0.068	-0.015
3.190	-0.005	0.068	-0.015
3.195	-0.006	0.068	-0.015
3.200	-0.006	0.068	-0.016
3.205	-0.005	0.068	-0.015
3.210	-0.005	0.068	-0.016
3.215	-0.005	0.068	-0.015
3.220	-0.005	0.068	-0.015
3.225	-0.005	0.068	-0.015
3.230	-0.005	0.068	-0.015
3.235	-0.005	0.069	-0.015
3.240	-0.005	0.068	-0.015
3.245	-0.004	0.068	-0.015
3.250	-0.004	0.068	-0.015
3.255	-0.005	0.068	-0.014
3.260	-0.005	0.068	-0.015
3.265	-0.005	0.069	-0.015
3.270	-0.005	0.069	-0.014
3.275	-0.005	0.069	-0.015
3.280	-0.005	0.069	-0.014
3.285	-0.005	0.069	-0.014
3.290	-0.005	0.068	-0.015
